tipo_atividade,qtd,ano
Walk,58,2020
Walk,125,2021
Walk,79,2022
Walk,100,2023
Walk,96,2024
Walk,49,2025
Run,68,2020
Run,59,2021
Run,48,2022
Run,78,2023
Run,77,2024
Run,51,2025
Weight Training,26,2021
Weight Training,31,2022
Weight Training,45,2023
Weight Training,54,2024
Workout,69,2020
Workout,20,2021
Workout,27,2022
Workout,55,2023
Workout,51,2024
Workout,67,2025
Ride,3,2020
Ride,1,2021
Ride,8,2023
Ride,5,2024
Ride,15,2025
Hike,1,2021
Hike,9,2022
Hike,1,2023
Hike,3,2024
