,Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort.1,Commute.1,Total Weight Lifted,From Upload,Grade Adjusted Distance,Recovery,With Pet,Competition,Long Run,For a Cause,data_ano,data_mes,dia_semana,tempo_min
1211,13251290841,"Jan 2, 2025, 10:16:07 PM",Afternoon Walk,Walk,,833,1.01,132.0,3.0,False,,ASICS ASICS Gel-Cumulus 25 Asics Gel-Cumulus 25 ,activities/14132626137.tcx.gz,,,833.0,833.0,1017.0,0.0,1.221,0.0,0.0,0.0,0.0,0.0,0.0,,,65.0,43.0,132.0,119.0,,,113.0,,,3.0,0.0,,1.0,,,,,,,2025,1,Quinta,13.883333333333333
1212,13251321223,"Jan 2, 2025, 10:30:11 PM",Evening Run,Run,,3566,3.99,138.0,6.0,False,,ASICS ASICS Gel-Cumulus 25 Asics Gel-Cumulus 25 ,activities/14132658211.tcx.gz,,,3566.0,1683.0,3990.6,3.528,2.371,2.2,0.0,13.5,15.9,6.6,0.0,,,91.0,85.0,138.0,118.0,,,438.0,,,6.0,0.0,,1.0,3992.4,,,,,,2025,1,Quinta,59.43333333333333
1213,13259785251,"Jan 3, 2025, 9:19:24 PM",Afternoon Workout,Workout,,4103,0.0,127.0,10.0,False,,,activities/14141732179.tcx.gz,,,4103.0,4103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,127.0,100.0,,,409.0,,,10.0,0.0,,1.0,,,,,,,2025,1,Sexta,68.38333333333334
1214,13285959366,"Jan 6, 2025, 10:11:06 PM",Afternoon Workout,Workout,,3835,0.0,170.0,13.0,False,,,activities/14169954115.tcx.gz,,,3835.0,3835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,170.0,108.0,,,439.0,,,13.0,0.0,,1.0,,,,,,,2025,1,Segunda,63.916666666666664
1215,13298120361,"Jan 7, 2025, 10:31:39 PM",Evening Walk,Walk,,1446,2.14,134.0,5.0,False,,ASICS ASICS Gel-Cumulus 25 Asics Gel-Cumulus 25 ,activities/14183030519.tcx.gz,,,1446.0,1428.0,2140.7,2.946,1.499,2.2,0.0,13.5,15.7,4.5,0.0,,,66.0,57.0,134.0,120.0,,,201.0,,,5.0,0.0,,1.0,,,,,,,2025,1,Terca,24.1
1216,13298120625,"Jan 7, 2025, 10:56:30 PM",Corrida rÃ¡pida na UFPE,Run,,996,2.23,189.0,23.0,False,,ASICS ASICS Gel-Cumulus 25 Asics Gel-Cumulus 25 ,activities/14183030543.tcx.gz,,,996.0,988.0,2232.5,3.8,2.26,0.0,0.0,13.9,15.5,1.0,0.0,,,89.0,81.0,189.0,151.0,,,201.0,,,23.0,0.0,,1.0,2232.7,,,,,,2025,1,Terca,16.6
1217,13315344410,"Jan 9, 2025, 9:50:11 PM",Evening Walk,Walk,,769,1.1,130.0,2.0,False,,ASICS ASICS Gel-Cumulus 25 Asics Gel-Cumulus 25 ,activities/14201455647.tcx.gz,,,769.0,769.0,1099.7,5.077,1.43,2.7,0.0,13.5,16.7,15.2,0.0,,,67.0,53.0,130.0,114.0,,,97.0,,,2.0,0.0,,1.0,,,,,,,2025,1,Quinta,12.816666666666666
1218,13315345476,"Jan 9, 2025, 10:03:10 PM",Evening Run,Run,,2813,6.14,190.0,103.0,False,,ASICS ASICS Gel-Cumulus 25 Asics Gel-Cumulus 25 ,activities/14201455739.tcx.gz,,,2813.0,2657.0,6144.8,3.861,2.313,2.0,2.1,13.3,15.7,6.7,0.0,,,93.0,82.0,190.0,164.0,,,620.0,,,103.0,0.0,,1.0,6149.5,,,,,,2025,1,Quinta,46.88333333333333
1219,13339453109,"Jan 10, 2025, 10:45:35 PM",Afternoon Workout,Workout,,5719,0.0,136.0,14.0,False,,,activities/14227338993.tcx.gz,,,5719.0,5719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,136.0,99.0,,,556.0,,,14.0,0.0,,1.0,,,,,,,2025,1,Sexta,95.31666666666666
1220,13339453149,"Jan 12, 2025, 7:11:08 PM",Afternoon Walk,Walk,,708,1.18,130.0,2.0,False,,ASICS ASICS Gel-Cumulus 25 Asics Gel-Cumulus 25 ,activities/14227339043.tcx.gz,,,708.0,708.0,1183.7,9.513,1.672,3.7,2.8,12.0,16.5,11.0,0.0,,,65.0,51.0,130.0,121.0,,,99.0,,,2.0,0.0,,1.0,,,,,,,2025,1,Domingo,11.8
