,Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort.1,Commute.1,Total Weight Lifted,From Upload,Grade Adjusted Distance,Recovery,With Pet,Competition,Long Run,For a Cause,data_ano,data_mes,dia_semana,tempo_min
438,6468927028,"Jan 3, 2022, 10:52:20 PM",Treino academia,Weight Training,,3472,0.0,171.0,15.0,False,,,activities/6878040429.gpx.gz,,,3472.0,3472.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,83.0,24.0,,118.0,,,,,,15.0,0.0,,1.0,,,,,,,2022,1,Segunda,57.86666666666667
439,6474039207,"Jan 4, 2022, 10:25:41 PM",Caminhada na UFPE,Walk,,3959,5.66,149.0,27.0,False,,ASICS Asics Gel Pulse 11 Masculino Pulse 11,activities/6883522336.gpx.gz,,,3959.0,3685.0,5664.4,2.465,1.537,86.6,82.1,5.3,31.3,39.9,0.1,,,79.0,53.0,,134.0,,,522.0,,,27.0,0.0,,1.0,,,,,,,2022,1,Terca,65.98333333333333
440,6484061797,"Jan 6, 2022, 10:33:26 PM",Caminhada de aquecimento,Walk,,635,1.04,157.0,6.0,False,,ASICS Asics Gel Pulse 11 Masculino Pulse 11,activities/6894218594.gpx.gz,,,635.0,635.0,1042.1,1.923,1.641,20.5,41.3,10.1,48.9,35.3,-2.0,,,67.0,59.0,,133.0,,,96.0,,,6.0,0.0,,1.0,,,,,,,2022,1,Quinta,10.583333333333334
441,6484110213,"Jan 6, 2022, 10:44:29 PM",Corrida na UFPE,Run,,914,2.09,183.0,24.0,False,,ASICS Asics Gel Pulse 11 Masculino Pulse 11,activities/6894269304.gpx.gz,,,914.0,811.0,2097.2,2.853,2.586,36.4,32.1,12.7,33.2,33.8,0.2,,,94.0,90.0,,157.0,,,209.0,,,24.0,0.0,,1.0,2265.5,,,,,,2022,1,Quinta,15.233333333333333
442,6484110635,"Jan 6, 2022, 11:02:01 PM",Corrida na UFPE,Run,,1975,4.49,188.0,86.0,False,,ASICS Asics Gel Pulse 11 Masculino Pulse 11,activities/6894269812.gpx.gz,,,1975.0,1647.0,4493.5,3.13,2.728,68.5,70.3,24.6,42.7,31.7,0.0,,,93.0,89.0,,172.0,,,442.0,,,86.0,0.0,,1.0,4800.9,,,,,,2022,1,Quinta,32.916666666666664
443,6484110825,"Jan 6, 2022, 11:36:54 PM",Caminhada de relaxamento,Walk,,1190,1.45,147.0,5.0,False,,ASICS Asics Gel Pulse 11 Masculino Pulse 11,activities/6894270050.gpx.gz,,,1190.0,1052.0,1451.6,1.729,1.38,43.1,24.1,18.8,41.0,44.4,1.3,,,89.0,58.0,,125.0,,,134.0,,,5.0,0.0,,1.0,,,,,,,2022,1,Quinta,19.833333333333332
444,6493674695,"Jan 8, 2022, 8:00:31 PM",Caminhada acompanhando Davi no patinete,Walk,,2431,3.01,136.0,8.0,False,,ASICS pulse gel 13 Asics Pulse Gel 13,activities/6904550635.gpx.gz,,,2431.0,2377.0,3013.4,3.047,1.268,34.5,48.7,24.4,59.1,44.3,-0.5,,,69.0,51.0,,117.0,,,278.0,,,8.0,0.0,,1.0,,,,,,,2022,1,Sabado,40.516666666666666
445,6502043388,"Jan 10, 2022, 3:37:53 PM",Treino academia,Weight Training,,2385,0.0,139.0,7.0,False,,,activities/6913559405.gpx.gz,,,2385.0,2385.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,73.0,37.0,,108.0,,,,,,7.0,0.0,,1.0,,,,,,,2022,1,Segunda,39.75
446,6535430329,"Jan 11, 2022, 10:05:34 PM",Caminhada na UFPE,Walk,,3909,5.74,175.0,46.0,False,,ASICS Asics Gel Pulse 11 Masculino Pulse 11,activities/6949218938.gpx.gz,,,3909.0,3738.0,5742.7,2.049,1.536,56.7,64.5,2.6,28.7,30.8,-0.1,,,68.0,57.0,,140.0,,,529.0,,,46.0,0.0,,1.0,,,,,,,2022,1,Terca,65.15
447,6535430638,"Jan 16, 2022, 7:19:41 PM",Caminhada acompanhando Davi no patinete,Walk,,2514,2.99,142.0,9.0,False,,ASICS Asics Gel Pulse 11 Masculino Pulse 11,activities/6949219224.gpx.gz,,,2514.0,2288.0,2994.3,3.172,1.309,64.8,107.3,19.5,86.9,45.4,-1.4,,,89.0,49.0,,123.0,,,276.0,,,9.0,0.0,,1.0,,,,,,,2022,1,Domingo,41.9
