,ano,mes,Distance,tempo_min,Calories
0,2022.0,0.0,49.410000000000004,585.5666666666667,4713.032455444336
1,2022.0,1.0,32.58,476.33333333333337,3075.793067932129
2,2022.0,2.0,33.78,763.9166666666666,3187.5464630126953
3,2022.0,3.0,23.96,726.1666666666667,2262.646156311035
4,2022.0,4.0,25.24,548.9,2409.011444091797
5,2022.0,5.0,19.97,166.51666666666668,1842.2606506347656
6,2022.0,6.0,26.87,251.21666666666664,2480.2542724609375
7,2022.0,7.0,44.589999999999996,773.6666666666666,4115.878963470459
8,2022.0,8.0,66.18,991.6999999999999,7777.660369873047
9,2022.0,9.0,47.94,831.9166666666666,6665.0
10,2022.0,10.0,51.230000000000004,1053.5833333333333,8033.0
11,2022.0,11.0,69.16,1026.9666666666665,9144.229034423828
