,Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort.1,Commute.1,Total Weight Lifted,From Upload,Grade Adjusted Distance,Recovery,With Pet,Competition,Long Run,For a Cause,data_ano,data_mes,dia_semana,tempo_min
0,3763864420,"Jul 14, 2020, 10:36:55 PM",Corrida no Cavouc̣o,Run,,3378,6.32,,,False,,,activities/4021635014.gpx.gz,,,3378.0,3261.0,6325.6,5.8,1.94,99.9,102.1,0.2,17.1,49.5,0.0,,,92.0,71.0,,,,,637.0,,,,0.0,,1.0,6915.5,,,,,,2020,7,Terca,56.3
1,3785578121,"Jul 15, 2020, 11:44:01 PM",Funcional,Workout,,1785,0.0,151.0,8.0,False,,,activities/4045907087.gpx.gz,,,1785.0,1785.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,68.0,23.0,,124.0,,,,,,8.0,0.0,,1.0,,,,,,,2020,7,Quarta,29.75
2,3785578976,"Jul 17, 2020, 9:39:24 PM",Funcional,Workout,,1808,0.0,166.0,15.0,False,,,activities/4045908038.gpx.gz,,,1808.0,1808.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,89.0,38.0,,132.0,,,,,,15.0,0.0,,1.0,,,,,,,2020,7,Sexta,30.133333333333333
3,3787254231,"Jul 19, 2020, 4:08:30 PM",Corrida,Walk,Cavouco,3178,5.64,188.0,68.0,False,,,activities/4047748524.gpx.gz,,,3178.0,3046.0,5642.6,8.9,1.852,218.4,221.6,15.9,57.1,42.7,-0.1,,,93.0,57.0,,147.0,,,520.0,,,68.0,0.0,,1.0,,,,,,,2020,7,Domingo,52.96666666666667
4,3787367551,"Jul 11, 2020, 10:10:58 PM",Corrida,Run,,3767,7.0,183.0,105.0,False,,,activities/4047875950.tcx.gz,,,3767.0,3707.0,7000.0,7.3,1.888,3.4,3.2,10.7,14.2,2.7,0.0,,,,,,156.0,,,943.0,,,105.0,0.0,,1.0,7007.0,,,,,,2020,7,Sabado,62.78333333333333
5,3787376822,"Jul 10, 2020, 10:23:48 PM",Funcional,Workout,,3648,0.34,171.0,15.0,False,,,activities/4047886130.tcx.gz,,,3648.0,3648.0,343.0,8.6,0.094,0.0,,,,0.0,0.0,,,,,,112.0,,,550.0,,,15.0,0.0,,1.0,,,,,,,2020,7,Sexta,60.8
6,3787407219,"Jul 8, 2020, 10:38:54 PM",Funcional,Workout,,4104,0.04,136.0,9.0,False,,,activities/4047919856.tcx.gz,,,4104.0,4104.0,43.0,8.6,0.01,0.0,,,,0.0,0.0,,,,,,96.0,,,481.0,,,9.0,0.0,,1.0,,,,,,,2020,7,Quarta,68.4
7,3787416280,"Jul 7, 2020, 10:37:45 PM",Corrida,Run,,4064,6.75,188.0,86.0,False,,,activities/4047930124.tcx.gz,,,4064.0,3369.0,6750.0,3.1,2.004,3.4,0.8,10.7,14.2,2.5,0.0,,,,,,154.0,,,952.0,,,86.0,0.0,,1.0,6759.5,,,,,,2020,7,Terca,67.73333333333333
8,3787425947,"Jul 3, 2020, 11:14:50 PM",Funcional,Workout,,4240,0.31,157.0,15.0,False,,,activities/4047940792.tcx.gz,,,4240.0,4240.0,316.0,9.6,0.075,0.0,,,,0.0,0.0,,,,,,111.0,,,639.0,,,15.0,0.0,,1.0,,,,,,,2020,7,Sexta,70.66666666666667
9,3787435472,"Jul 1, 2020, 10:55:00 PM",Funcional,Workout,,3135,0.28,144.0,9.0,False,,,activities/4047951523.tcx.gz,,,3135.0,3135.0,288.0,0.0,0.092,0.0,,,,0.0,0.0,,,,,,107.0,,,420.0,,,9.0,0.0,,1.0,,,,,,,2020,7,Quarta,52.25
