,ano,mes,Distance,tempo_min,Calories
0,2023.0,0.0,46.31,1032.0166666666667,7996.0
1,2023.0,1.0,57.489999999999995,959.5166666666667,7154.0
2,2023.0,2.0,59.019999999999996,979.9833333333332,6682.0
3,2023.0,3.0,37.17000000000001,1000.8833333333332,7156.0
4,2023.0,4.0,39.02,1041.6499999999999,7550.0
5,2023.0,5.0,40.95,664.25,5222.0
6,2023.0,6.0,45.07,1085.2333333333333,8216.0
7,2023.0,7.0,57.989999999999995,1190.1999999999998,9550.0
8,2023.0,8.0,98.39,1125.05,9805.0
9,2023.0,9.0,30.26,980.0,7787.0
10,2023.0,10.0,71.79,1068.6166666666666,8829.0
11,2023.0,11.0,43.319999999999986,993.7,7330.0
