,ano,mes,Distance,tempo_min,Calories
0,2021.0,0.0,61.23999999999999,949.8833333333332,5891.0
1,2021.0,1.0,77.40000000000002,974.9333333333335,5776.0
2,2021.0,2.0,58.949999999999996,887.3166666666667,5549.0
3,2021.0,3.0,76.61999999999999,965.4833333333332,7661.0
4,2021.0,4.0,61.330000000000005,693.8666666666667,5876.0
5,2021.0,5.0,53.67999999999999,679.2833333333333,5207.0
6,2021.0,6.0,58.11999999999999,641.9499999999999,5746.0
7,2021.0,7.0,56.14,617.7166666666667,5403.0
8,2021.0,8.0,59.26,824.9833333333333,5528.0
9,2021.0,9.0,43.419999999999995,726.15,4126.0
10,2021.0,10.0,49.36,910.6500000000001,4737.0
11,2021.0,11.0,48.88,611.4833333333333,4630.0
