,ano,mes,Distance,tempo_min,Calories
0,2025.0,0.0,52.720000000000006,1133.1333333333332,9231.0
1,2025.0,1.0,47.81,875.5666666666665,8391.0
2,2025.0,2.0,55.56999999999999,975.4666666666667,8882.0
3,2025.0,3.0,53.36000000000001,944.9333333333333,8401.0
4,2025.0,4.0,215.08,1449.9,11154.0
5,2025.0,5.0,58.36,988.6333333333333,8686.0
6,2025.0,6.0,53.11,1097.1833333333332,7529.0
7,2025.0,7.0,71.64,1081.65,9793.0
8,2025.0,8.0,56.11,938.1999999999999,8125.0
9,2025.0,9.0,0.0,0.0,0.0
10,2025.0,10.0,0.0,0.0,0.0
11,2025.0,11.0,0.0,0.0,0.0
