,Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort.1,Commute.1,Total Weight Lifted,From Upload,Grade Adjusted Distance,data_ano,data_mes,dia_semana,tempo_min
938,10597658033,"Jan 18, 2024, 11:03:05 PM",Evening Run,Run,,872,2.04,183.0,27.0,False,,ASICS Asics Gel Pacemaker 3 Asics Gel Pacemaker 3,activities/11337656790.tcx.gz,,,872.0,806.0,2043.59326171875,3.655789375305176,2.535475492477417,0.0,0.4000000059604645,14.399999618530272,15.899999618530272,0.9988588690757751,-0.0195733662694692,,,92.0,87.4521713256836,,159.8633575439453,,,180.0,,,27.0,0.0,,1.0,2043.5999755859373,2024,1,Quinta,14.533333333333333
939,10597658036,"Jan 18, 2024, 10:41:25 PM",Caminhada de Aquecimento,Walk,,1799,2.0,159.0,9.0,False,,ASICS Asics Gel Pacemaker 3 Asics Gel Pacemaker 3,activities/11337656715.tcx.gz,,,1799.0,1799.0,2004.79296875,3.0823018550872803,1.1143913269042969,0.0,-0.800000011920929,13.699999809265137,15.600000381469728,1.9794213771820068,0.0399043709039688,,,68.0,47.00475311279297,,126.593505859375,,,197.0,,,9.0,0.0,,1.0,,2024,1,Quinta,29.983333333333334
940,10597658103,"Jan 18, 2024, 11:18:46 PM",Caminhada de relaxamento,Walk,,1353,2.04,161.0,8.0,False,,ASICS Asics Gel Pacemaker 3 Asics Gel Pacemaker 3,activities/11337656858.tcx.gz,,,1353.0,1353.0,2042.8433837890625,12.01022720336914,1.509859561920166,0.0,2.900000095367432,12.100000381469728,15.600000381469728,1.8253790140151975,-0.1419589966535568,,,83.0,63.38598251342773,,132.64166259765625,,,184.0,,,8.0,0.0,,1.0,,2024,1,Quinta,22.55
941,10597658152,"Jan 20, 2024, 10:16:56 PM",Caminhada de Aquecimento,Walk,,1119,1.03,145.0,2.0,False,,ASICS Asics Gel Pacemaker 3 Asics Gel Pacemaker 3,activities/11337656898.tcx.gz,,,1119.0,1119.0,1037.528076171875,3.611305475234986,0.9271939396858216,0.0,0.6000000238418579,13.699999809265137,14.600000381469728,1.9092806577682493,-0.0578297600150108,,,70.0,54.25042724609375,,118.90908813476562,,,82.0,,,2.0,0.0,,1.0,,2024,1,Sabado,18.65
942,10597658215,"Jan 20, 2024, 10:27:12 PM",Corrida na UFPE,Run,,1922,5.01,183.0,26.0,False,,ASICS Asics Gel Pacemaker 3 Asics Gel Pacemaker 3,activities/11337656959.tcx.gz,,,1922.0,1903.0,5010.66015625,7.9379448890686035,2.6330320835113525,0.0,-0.4000000059604645,13.699999809265137,15.300000190734863,1.9921408891677856,0.0079829804599285,,,94.0,86.13811492919922,,138.0126495361328,,,341.0,,,26.0,0.0,,1.0,5013.7998046875,2024,1,Sabado,32.03333333333333
943,10613872414,"Jan 22, 2024, 10:39:15 PM",Treino academia,Weight Training,,3427,0.0,127.0,9.0,False,,,activities/11354376361.tcx.gz,,,3427.0,3427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,103.94893646240234,,,336.0,,,9.0,0.0,,1.0,,2024,1,Segunda,57.11666666666667
944,10630355305,"Jan 23, 2024, 11:10:26 PM",Treino academia,Weight Training,,3429,0.0,139.0,9.0,False,,,activities/11371225673.tcx.gz,,,3429.0,3429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,104.4310302734375,,,376.0,,,9.0,0.0,,1.0,,2024,1,Terca,57.15
945,10630355360,"Jan 25, 2024, 10:43:13 PM",Caminhada de Aquecimento,Walk,,980,1.51,139.0,3.0,False,,ASICS Asics Gel Pacemaker 3 Asics Gel Pacemaker 3,activities/11371225722.tcx.gz,,,980.0,980.0,1510.9095458984375,3.251857280731201,1.5417444705963137,0.0,-0.5,14.100000381469728,15.300000190734863,4.758495807647705,0.0330926477909088,,,65.0,46.23902130126953,,118.51787567138672,,,134.0,,,3.0,0.0,,1.0,,2024,1,Quinta,16.333333333333332
946,10630355442,"Jan 25, 2024, 10:59:43 PM",Corrida rÃ¡pida na UFPE,Run,,2047,4.39,183.0,63.0,False,,ASICS Asics Gel Pacemaker 3 Asics Gel Pacemaker 3,activities/11371225785.tcx.gz,,,2047.0,1757.0,4393.76318359375,5.827816486358643,2.5007190704345703,15.041704177856444,15.741700172424316,9.800000190734863,18.399999618530277,12.44912052154541,-0.0159316733479499,,,90.0,84.31657409667969,,162.09371948242188,,,406.0,,,63.0,0.0,,1.0,4436.7001953125,2024,1,Quinta,34.11666666666667
947,10671306840,"Jan 27, 2024, 7:19:44 PM",Caminhada na UFPE,Walk,,2114,2.0,126.0,4.0,False,,ASICS Asics Gel Pacemaker 3 Asics Gel Pacemaker 3,activities/11413618496.tcx.gz,,,2114.0,2114.0,2003.10400390625,2.534055709838867,0.9475402235984802,0.0,-0.4000000059604645,14.399999618530272,15.899999618530272,1.806972980499268,0.0199690088629722,,,65.0,56.910675048828125,,115.48751068115234,,,176.0,,,4.0,0.0,,1.0,,2024,1,Sabado,35.233333333333334
