,Unnamed: 0,Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Filename,Max Speed,Average Speed,Calories,data_ano,data_mes,dia_semana,tempo_min
484,484,6909123728,"Mar 30, 2022, 10:16:05 PM",Treino academia,Weight Training,,3422,0.0,177.0,activities/7351498661.gpx.gz,0.0,0.0,,2022,3,Quarta,57.03333333333333
485,485,6917440937,"Apr 1, 2022, 9:50:20 PM",Treino academia,Weight Training,,3391,0.0,142.0,activities/7360506778.gpx.gz,0.0,0.0,,2022,4,Sexta,56.516666666666666
486,486,6937882598,"Apr 5, 2022, 10:57:46 PM",Treino academia,Weight Training,,3639,0.0,175.0,activities/7382670833.gpx.gz,0.0,0.0,,2022,4,Terca,60.65
487,487,6947300126,"Apr 7, 2022, 10:18:57 PM",Caminhada de aquecimento,Walk,,2110,2.94,134.0,activities/7392832861.gpx.gz,1.6659419536590576,1.3961564302444458,271.4667053222656,2022,4,Quinta,35.166666666666664
488,488,6947301781,"Apr 7, 2022, 10:55:31 PM",Corrida na UFPE,Run,,2179,4.7,175.0,activities/7392834627.gpx.gz,2.862898111343384,2.492628574371338,457.2348327636719,2022,4,Quinta,36.31666666666667
489,489,6951491237,"Apr 8, 2022, 10:15:19 PM",Treino academia,Weight Training,,3433,0.0,145.0,activities/7397366634.gpx.gz,0.0,0.0,,2022,4,Sexta,57.21666666666667
490,490,6977816851,"Apr 13, 2022, 9:56:31 PM",Treino academia,Weight Training,,3585,0.0,175.0,activities/7425886876.gpx.gz,0.0,0.0,,2022,4,Quarta,59.75
491,491,6982921483,"Apr 14, 2022, 10:16:20 PM",Caminhada de aquecimento,Walk,,864,1.32,141.0,activities/7431415263.gpx.gz,2.000572919845581,1.533325433731079,122.08072662353516,2022,4,Quinta,14.4
492,492,6982921889,"Apr 14, 2022, 10:31:09 PM",Corrida na praÃÂ§a do Engenho do Meio,Run,,2452,5.42,188.0,activities/7431415656.gpx.gz,3.2132363319396973,2.689282894134521,528.7808837890625,2022,4,Quinta,40.86666666666667
493,493,6993572253,"Apr 16, 2022, 7:26:43 PM",Caminhada acompanhando Davi no patinete,Walk,,3716,5.5,182.0,activities/7442989581.gpx.gz,7.642974853515625,1.907952070236206,507.0636291503906,2022,4,Sabado,61.93333333333333
494,494,7009629461,"Apr 19, 2022, 10:11:21 PM",Treino academia,Weight Training,,3355,0.0,153.0,activities/7460491940.gpx.gz,0.0,0.0,,2022,4,Terca,55.91666666666666
495,495,7015206061,"Apr 20, 2022, 10:49:07 PM",Treino academia,Weight Training,,4085,0.0,180.0,activities/7466494640.gpx.gz,0.0,0.0,,2022,4,Quarta,68.08333333333333
496,496,7054566258,"Apr 22, 2022, 10:37:59 PM",Caminhada na UFPE,Walk,,2850,4.08,133.0,activities/7509171020.gpx.gz,2.8175466060638428,1.4317452907562256,376.0193786621094,2022,4,Sexta,47.5
497,497,7054566603,"Apr 26, 2022, 10:23:05 PM",Treino academia,Weight Training,,3790,0.0,169.0,activities/7509171332.gpx.gz,0.0,0.0,,2022,4,Terca,63.16666666666666
498,498,7061802076,"Apr 29, 2022, 9:59:20 PM",Treino academia,Weight Training,,4121,0.0,184.0,activities/7517005482.gpx.gz,0.0,0.0,,2022,4,Sexta,68.68333333333334
499,499,7071212033,"May 1, 2022, 2:03:47 PM",Caminhada no Parque Santana,Walk,,3538,1.8,126.0,activities/7527252032.gpx.gz,7.685367584228516,1.31533682346344,166.05702209472656,2022,5,Domingo,58.96666666666667
500,500,7086484490,"May 3, 2022, 10:01:15 PM",Caminhada na UFPE,Walk,,2706,3.74,152.0,activities/7543842375.gpx.gz,3.4232842922210693,1.3984378576278689,345.1073303222656,2022,5,Terca,45.1
