,Unnamed: 0,Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Filename,Max Speed,Average Speed,Calories,Recovery,With Pet,Competition,Long Run,For a Cause,data_ano,data_mes,dia_semana,tempo_min
0,634,8332731502,"Jan 2, 2023, 9:53:10 PM",Treino academia,Weight Training,,3824,0.0,171.0,activities/8935452957.tcx.gz,0.0,0.0,443.0,,,,,,2023,1,Segunda,63.73333333333333
1,636,8332731521,"Jan 2, 2023, 10:57:25 PM",Corrida rÃÂ¡pida na esteira,Run,,765,0.12,139.0,activities/8935453054.tcx.gz,6.76,0.167,174.0,,,,,,2023,1,Segunda,12.75
2,637,8336419773,"Jan 3, 2023, 10:12:53 PM",Caminhada de aquecimento,Walk,,913,1.41,159.0,activities/8939589040.tcx.gz,2.842,1.548,163.0,,,,,,2023,1,Terca,15.216666666666669
3,638,8336420005,"Jan 3, 2023, 10:29:10 PM",Corrida na UFPE (Primeira de 2023),Run,,2510,6.19,185.0,activities/8939589217.tcx.gz,7.433,2.688,528.0,,,,,,2023,1,Terca,41.833333333333336
4,639,8341639169,"Jan 4, 2023, 9:46:12 PM",Caminhada na UFPE,Walk,,3185,4.55,137.0,activities/8945400858.tcx.gz,4.901,1.43,435.0,,,,,,2023,1,Quarta,53.083333333333336
5,640,8380185228,"Jan 5, 2023, 10:20:43 PM",Caminhada de aquecimento,Walk,,1350,2.01,148.0,activities/8988371348.tcx.gz,2.454,1.494,204.0,,,,,,2023,1,Quinta,22.5
6,641,8380185264,"Jan 6, 2023, 9:58:40 PM",Treino academia,Weight Training,,3692,0.0,163.0,activities/8988371463.tcx.gz,0.0,0.0,437.0,,,,,,2023,1,Sexta,61.53333333333333
7,642,8380185305,"Jan 5, 2023, 10:43:40 PM",Corrida rÃÂ¡pida na UFPE,Run,,1481,3.54,185.0,activities/8988371424.tcx.gz,3.623,2.541,338.0,,,,,,2023,1,Quinta,24.683333333333334
8,643,8380185409,"Jan 9, 2023, 10:47:01 PM",Treino academia,Weight Training,,4106,0.0,173.0,activities/8988371663.tcx.gz,0.0,0.0,550.0,,,,,,2023,1,Segunda,68.43333333333334
9,644,8380185642,"Jan 10, 2023, 10:40:29 PM",Caminhada de aquecimento,Walk,,2427,2.4,160.0,activities/8988371906.tcx.gz,2.573,0.992,226.0,,,,,,2023,1,Terca,40.45
10,645,8380185768,"Jan 10, 2023, 11:08:24 PM",Corrida na UFPE,Run,,2945,5.11,180.0,activities/8988372006.tcx.gz,3.626,2.611,349.0,,,,,,2023,1,Terca,49.083333333333336
11,646,8380185856,"Jan 11, 2023, 9:57:26 PM",Treino Funcional,Workout,,4268,0.0,181.0,activities/8988372094.tcx.gz,0.0,0.0,500.0,,,,,,2023,1,Quarta,71.13333333333334
12,647,8385218126,"Jan 12, 2023, 10:07:01 PM",Caminhada de aquecimento,Walk,,777,1.11,148.0,activities/8993911513.tcx.gz,2.457,1.436,109.0,,,,,,2023,1,Quinta,12.95
13,648,8385218280,"Jan 12, 2023, 10:20:16 PM",Corrida na UFPE,Run,,3490,6.23,186.0,activities/8993911605.tcx.gz,3.235,2.529,564.0,,,,,,2023,1,Quinta,58.16666666666666
14,649,8411980832,"Jan 16, 2023, 9:49:19 PM",Treino Funcional,Workout,,5156,0.0,153.0,activities/9023696070.tcx.gz,0.0,0.0,609.0,,,,,,2023,1,Segunda,85.93333333333334
