,Unnamed: 0,Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Filename,Max Speed,Average Speed,Calories,Recovery,With Pet,Competition,Long Run,For a Cause,data_ano,data_mes,dia_semana,tempo_min
0,438,6468927028,"Jan 3, 2022, 10:52:20 PM",Treino academia,Weight Training,,3472,0.0,171.0,activities/6878040429.gpx.gz,0.0,0.0,,,,,,,2022,1,Segunda,57.86666666666667
1,439,6474039207,"Jan 4, 2022, 10:25:41 PM",Caminhada na UFPE,Walk,,3959,5.66,149.0,activities/6883522336.gpx.gz,2.465,1.537,522.0,,,,,,2022,1,Terca,65.98333333333333
2,440,6484061797,"Jan 6, 2022, 10:33:26 PM",Caminhada de aquecimento,Walk,,635,1.04,157.0,activities/6894218594.gpx.gz,1.923,1.641,96.0,,,,,,2022,1,Quinta,10.583333333333334
3,441,6484110213,"Jan 6, 2022, 10:44:29 PM",Corrida na UFPE,Run,,914,2.09,183.0,activities/6894269304.gpx.gz,2.853,2.586,209.0,,,,,,2022,1,Quinta,15.233333333333333
4,442,6484110635,"Jan 6, 2022, 11:02:01 PM",Corrida na UFPE,Run,,1975,4.49,188.0,activities/6894269812.gpx.gz,3.13,2.728,442.0,,,,,,2022,1,Quinta,32.916666666666664
5,443,6484110825,"Jan 6, 2022, 11:36:54 PM",Caminhada de relaxamento,Walk,,1190,1.45,147.0,activities/6894270050.gpx.gz,1.729,1.38,134.0,,,,,,2022,1,Quinta,19.83333333333333
6,444,6493674695,"Jan 8, 2022, 8:00:31 PM",Caminhada acompanhando Davi no patinete,Walk,,2431,3.01,136.0,activities/6904550635.gpx.gz,3.047,1.268,278.0,,,,,,2022,1,Sabado,40.516666666666666
7,445,6502043388,"Jan 10, 2022, 3:37:53 PM",Treino academia,Weight Training,,2385,0.0,139.0,activities/6913559405.gpx.gz,0.0,0.0,,,,,,,2022,1,Segunda,39.75
8,446,6535430329,"Jan 11, 2022, 10:05:34 PM",Caminhada na UFPE,Walk,,3909,5.74,175.0,activities/6949218938.gpx.gz,2.049,1.536,529.0,,,,,,2022,1,Terca,65.15
9,447,6535430638,"Jan 16, 2022, 7:19:41 PM",Caminhada acompanhando Davi no patinete,Walk,,2514,2.99,142.0,activities/6949219224.gpx.gz,3.172,1.309,276.0,,,,,,2022,1,Domingo,41.9
10,448,6545851333,"Jan 18, 2022, 9:28:57 PM",Caminhada de aquecimento,Walk,,713,1.13,154.0,activities/6960364385.gpx.gz,1.866,1.587,104.0,,,,,,2022,1,Terca,11.883333333333333
11,449,6545851787,"Jan 18, 2022, 9:41:17 PM",Corrida na UFPE,Run,,2475,5.49,183.0,activities/6960364929.gpx.gz,2.778,2.604,542.0,,,,,,2022,1,Terca,41.25
12,450,6565958665,"Jan 20, 2022, 10:01:58 PM",Caminhada de aquecimento,Walk,,723,1.17,144.0,activities/6981876528.gpx.gz,1.876,1.626,108.0,,,,,,2022,1,Quinta,12.05
13,451,6565959119,"Jan 20, 2022, 10:14:49 PM",Corrida na UFPE,Run,,2008,4.47,188.0,activities/6981877035.gpx.gz,2.746,2.656,444.0,,,,,,2022,1,Quinta,33.46666666666667
14,452,6565959628,"Jan 22, 2022, 9:55:07 PM",Caminhada de aquecimento,Walk,,676,1.05,140.0,activities/6981877615.gpx.gz,1.962,1.557,97.0,,,,,,2022,1,Sabado,11.266666666666667
15,453,6565959926,"Jan 22, 2022, 10:06:49 PM",Corrida na UFPE,Run,,2411,5.53,192.0,activities/6981877930.gpx.gz,2.948,2.742,553.0,,,,,,2022,1,Sabado,40.18333333333333
16,454,6571693822,"Jan 23, 2022, 8:09:32 PM",Caminhada acompanhando Davi no patinete,Walk,,2744,4.1,184.0,activities/6988055665.gpx.gz,3.503,1.497,378.0,,,,,,2022,1,Domingo,45.73333333333333
17,455,6637401374,"Feb 5, 2022, 9:45:33 PM",Caminhada noturna na UFPE,Walk,,2948,4.81,,activities/6637401374.gpx,5.74,1.633,444.0,,,,,,2022,2,Sabado,49.13333333333333
18,456,6641015381,"Feb 6, 2022, 2:21:07 PM",Caminhada de ReposiÃÂ§ÃÂ£o de Vitamina D,Walk,,3113,4.06,132.0,activities/7062192474.gpx.gz,2.781,1.317,374.0,,,,,,2022,2,Domingo,51.88333333333333
19,457,6657755142,"Feb 9, 2022, 7:09:11 PM",Caminhada na UFPE,Walk,,2971,4.8,,activities/6657755142.gpx,4.2,1.618,443.0,,,,,,2022,2,Quarta,49.516666666666666
20,458,6668475559,"Feb 11, 2022, 10:38:31 PM",Caminhada de aquecimento,Walk,,819,1.22,168.0,activities/7091608334.gpx.gz,1.973,1.499,113.0,,,,,,2022,2,Sexta,13.65
