,ano,mes,Distance,tempo_min,Calories
0,2024.0,0.0,45.169999999999995,969.05,7500.0
1,2024.0,1.0,24.450000000000003,954.1166666666667,6614.0
2,2024.0,2.0,46.46,981.0666666666667,7100.834320068359
3,2024.0,3.0,44.73,857.6666666666666,6608.0
4,2024.0,4.0,55.13,1073.0666666666666,7957.280609130859
5,2024.0,5.0,45.589999999999996,960.4166666666667,6704.583145141602
6,2024.0,6.0,72.2,1203.5833333333333,9828.0
7,2024.0,7.0,66.83,1002.7000000000002,8168.282968521118
8,2024.0,8.0,72.21,1287.033333333333,10218.0
9,2024.0,9.0,51.339999999999996,1046.2833333333333,8305.0
10,2024.0,10.0,63.61999999999999,943.6999999999999,7976.0
11,2024.0,11.0,31.07,583.6166666666667,4807.0
