,Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort.1,Commute.1,Total Weight Lifted,From Upload,Grade Adjusted Distance,Recovery,With Pet,Competition,Long Run,For a Cause,data_ano,data_mes,dia_semana,tempo_min
634,8332731502,"Jan 2, 2023, 9:53:10 PM",Treino academia,Weight Training,,3824,0.0,171.0,17.0,False,,,activities/8935452957.tcx.gz,,,3824.0,3824.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,108.0,,,443.0,,,17.0,0.0,,1.0,,,,,,,2023,1,Segunda,63.733333333333334
636,8332731521,"Jan 2, 2023, 10:57:25 PM",Corrida rÃ¡pida na esteira,Run,,765,0.12,139.0,0.0,False,,ASICS pulse gel 13 Asics Pulse Gel 13,activities/8935453054.tcx.gz,,,765.0,765.0,127.5,6.76,0.167,0.0,0.2,13.2,13.5,1.0,-0.2,,,61.0,50.0,,136.0,,,174.0,,,0.0,0.0,,1.0,127.4,,,,,,2023,1,Segunda,12.75
637,8336419773,"Jan 3, 2023, 10:12:53 PM",Caminhada de aquecimento,Walk,,913,1.41,159.0,12.0,False,,ASICS pulse gel 13 Asics Pulse Gel 13,activities/8939589040.tcx.gz,,,913.0,913.0,1413.7,2.842,1.548,0.0,-0.6,15.8,16.7,2.0,0.0,,,65.0,47.0,,140.0,,,163.0,,,12.0,0.0,,1.0,,,,,,,2023,1,Terca,15.216666666666667
638,8336420005,"Jan 3, 2023, 10:29:10 PM",Corrida na UFPE (Primeira de 2023),Run,,2510,6.19,185.0,92.0,False,,ASICS pulse gel 13 Asics Pulse Gel 13,activities/8939589217.tcx.gz,,,2510.0,2304.0,6192.1,7.433,2.688,0.0,2.0,15.1,17.1,2.8,0.0,,,92.0,89.0,,165.0,,,528.0,,,92.0,0.0,,1.0,6192.0,,,,,,2023,1,Terca,41.833333333333336
639,8341639169,"Jan 4, 2023, 9:46:12 PM",Caminhada na UFPE,Walk,,3185,4.55,137.0,11.0,False,,ASICS pulse gel 13 Asics Pulse Gel 13,activities/8945400858.tcx.gz,,,3185.0,3185.0,4555.5,4.901,1.43,2.6,3.3,13.5,17.0,4.7,0.0,,,68.0,58.0,,118.0,,,435.0,,,11.0,0.0,,1.0,,,,,,,2023,1,Quarta,53.083333333333336
640,8380185228,"Jan 5, 2023, 10:20:43 PM",Caminhada de aquecimento,Walk,,1350,2.01,148.0,5.0,False,,ASICS pulse gel 13 Asics Pulse Gel 13,activities/8988371348.tcx.gz,,,1350.0,1350.0,2017.2,2.454,1.494,0.0,-0.4,14.8,16.0,3.0,0.0,,,67.0,52.0,,126.0,,,204.0,,,5.0,0.0,,1.0,,,,,,,2023,1,Quinta,22.5
641,8380185264,"Jan 6, 2023, 9:58:40 PM",Treino academia,Weight Training,,3692,0.0,163.0,13.0,False,,,activities/8988371463.tcx.gz,,,3692.0,3692.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,109.0,,,437.0,,,13.0,0.0,,1.0,,,,,,,2023,1,Sexta,61.53333333333333
642,8380185305,"Jan 5, 2023, 10:43:40 PM",Corrida rÃ¡pida na UFPE,Run,,1481,3.54,185.0,65.0,False,,ASICS pulse gel 13 Asics Pulse Gel 13,activities/8988371424.tcx.gz,,,1481.0,1394.0,3541.9,3.623,2.541,0.0,0.4,14.4,16.0,4.3,0.0,,,90.0,88.0,,169.0,,,338.0,,,65.0,0.0,,1.0,3543.6,,,,,,2023,1,Quinta,24.683333333333334
643,8380185409,"Jan 9, 2023, 10:47:01 PM",Treino academia,Weight Training,,4106,0.0,173.0,26.0,False,,,activities/8988371663.tcx.gz,,,4106.0,4106.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,117.0,,,550.0,,,26.0,0.0,,1.0,,,,,,,2023,1,Segunda,68.43333333333334
644,8380185642,"Jan 10, 2023, 10:40:29 PM",Caminhada de aquecimento,Walk,,2427,2.4,160.0,6.0,False,,ASICS pulse gel 13 Asics Pulse Gel 13,activities/8988371906.tcx.gz,,,2427.0,2427.0,2407.4,2.573,0.992,0.0,-0.3,14.8,15.8,3.0,0.0,,,65.0,58.0,,118.0,,,226.0,,,6.0,0.0,,1.0,,,,,,,2023,1,Terca,40.45
645,8380185768,"Jan 10, 2023, 11:08:24 PM",Corrida na UFPE,Run,,2945,5.11,180.0,22.0,False,,ASICS pulse gel 13 Asics Pulse Gel 13,activities/8988372006.tcx.gz,,,2945.0,1959.0,5115.4,3.626,2.611,9.0,6.0,9.9,16.1,16.3,0.1,,,90.0,87.0,,137.0,,,349.0,,,22.0,0.0,,1.0,5154.8,,,,,,2023,1,Terca,49.083333333333336
646,8380185856,"Jan 11, 2023, 9:57:26 PM",Treino Funcional,Workout,,4268,0.0,181.0,18.0,False,,,activities/8988372094.tcx.gz,,,4268.0,4268.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,108.0,,,500.0,,,18.0,0.0,,1.0,,,,,,,2023,1,Quarta,71.13333333333334
647,8385218126,"Jan 12, 2023, 10:07:01 PM",Caminhada de aquecimento,Walk,,777,1.11,148.0,3.0,False,,ASICS pulse gel 13 Asics Pulse Gel 13,activities/8993911513.tcx.gz,,,777.0,777.0,1115.9,2.457,1.436,0.0,0.0,14.8,15.8,2.9,0.0,,,66.0,58.0,,120.0,,,109.0,,,3.0,0.0,,1.0,,,,,,,2023,1,Quinta,12.95
648,8385218280,"Jan 12, 2023, 10:20:16 PM",Corrida na UFPE,Run,,3490,6.23,186.0,94.0,False,,ASICS pulse gel 13 Asics Pulse Gel 13,activities/8993911605.tcx.gz,,,3490.0,2466.0,6237.3,3.235,2.529,0.0,0.8,14.2,16.3,8.6,0.0,,,90.0,88.0,,163.0,,,564.0,,,94.0,0.0,,1.0,6243.0,,,,,,2023,1,Quinta,58.166666666666664
